iter	Passed	Remaining
0	164	163908
1	182	91224
2	195	65029
3	205	51078
4	212	42188
5	216	35924
6	222	31554
7	227	28209
8	232	25584
9	237	23547
10	243	21897
11	248	20475
12	254	19287
13	259	18274
14	264	17353
15	269	16587
16	274	15889
17	279	15256
18	285	14739
19	291	14263
20	295	13798
21	301	13410
22	307	13055
23	312	12720
24	318	12414
25	323	12114
26	328	11829
27	333	11578
28	338	11345
29	343	11109
30	348	10902
31	354	10723
32	359	10531
33	364	10356
34	370	10210
35	375	10046
36	380	9899
37	386	9781
38	391	9641
39	396	9510
40	402	9402
41	407	9283
42	412	9173
43	417	9081
44	423	8978
45	428	8882
46	442	8970
47	453	8993
48	464	9010
49	472	8979
50	480	8940
51	486	8864
52	491	8786
53	496	8698
54	501	8616
55	506	8544
56	511	8465
57	516	8390
58	522	8326
59	531	8326
60	542	8351
61	550	8331
62	559	8324
63	567	8300
64	573	8255
65	580	8212
66	587	8181
67	592	8125
68	597	8064
69	603	8012
70	608	7962
71	613	7905
72	619	7865
73	624	7816
74	629	7762
75	634	7710
76	639	7670
77	644	7622
78	649	7577
79	655	7543
80	660	7498
81	666	7457
82	672	7426
83	677	7389
84	682	7346
85	688	7315
86	693	7275
87	697	7231
88	703	7199
89	708	7160
90	713	7123
91	718	7093
92	723	7058
93	728	7019
94	733	6989
95	738	6958
96	743	6921
97	748	6893
98	754	6865
99	759	6832
100	764	6800
101	769	6776
102	774	6746
103	779	6718
104	786	6703
105	791	6674
106	796	6649
107	802	6626
108	807	6599
109	812	6570
110	817	6549
111	822	6523
112	827	6495
113	832	6473
114	837	6447
115	842	6422
116	848	6400
117	853	6377
118	857	6351
119	862	6328
120	868	6312
121	873	6288
122	878	6264
123	884	6247
124	889	6224
125	894	6202
126	899	6186
127	904	6164
128	909	6140
129	914	6123
130	919	6102
131	925	6085
132	930	6068
133	935	6048
134	940	6025
135	945	6008
136	950	5990
137	955	5971
138	960	5950
139	966	5935
140	971	5917
141	976	5898
142	982	5885
143	986	5867
144	991	5848
145	997	5836
146	1002	5817
147	1007	5799
148	1012	5784
149	1017	5767
150	1022	5748
151	1028	5736
152	1033	5719
153	1037	5701
154	1044	5692
155	1048	5675
156	1053	5657
157	1059	5645
158	1065	5637
159	1071	5625
160	1078	5617
161	1083	5606
162	1088	5591
163	1095	5583
164	1100	5571
165	1106	5557
166	1112	5547
167	1117	5536
168	1123	5524
169	1129	5515
170	1137	5514
171	1143	5505
172	1148	5489
173	1153	5474
174	1158	5463
175	1163	5448
176	1168	5433
177	1174	5423
178	1180	5413
179	1186	5406
180	1192	5397
181	1197	5383
182	1202	5369
183	1208	5358
184	1213	5345
185	1218	5330
186	1223	5320
187	1228	5305
188	1233	5292
189	1238	5281
190	1244	5270
191	1249	5256
192	1254	5244
193	1259	5234
194	1264	5221
195	1269	5208
196	1275	5200
197	1280	5188
198	1285	5174
199	1291	5165
200	1296	5152
201	1300	5139
202	1306	5130
203	1311	5118
204	1316	5105
205	1322	5096
206	1327	5084
207	1331	5071
208	1338	5067
209	1353	5090
210	1366	5109
211	1377	5119
212	1385	5117
213	1391	5111
214	1396	5099
215	1401	5087
216	1406	5075
217	1411	5062
218	1416	5051
219	1422	5041
220	1426	5029
221	1431	5018
222	1437	5009
223	1442	4997
224	1447	4985
225	1453	4977
226	1458	4965
227	1462	4953
228	1468	4944
229	1473	4933
230	1478	4922
231	1484	4913
232	1488	4900
233	1493	4888
234	1498	4878
235	1503	4868
236	1508	4857
237	1513	4846
238	1519	4838
239	1524	4828
240	1529	4817
241	1535	4808
242	1539	4797
243	1545	4787
244	1551	4780
245	1556	4770
246	1561	4759
247	1567	4752
248	1572	4741
249	1577	4731
250	1582	4723
251	1587	4713
252	1592	4702
253	1598	4693
254	1603	4683
255	1607	4672
256	1612	4663
257	1618	4653
258	1622	4643
259	1627	4632
260	1633	4624
261	1638	4614
262	1643	4604
263	1648	4596
264	1653	4587
265	1658	4577
266	1664	4569
267	1669	4560
268	1674	4551
269	1681	4545
270	1686	4536
271	1691	4526
272	1697	4519
273	1702	4509
274	1706	4499
275	1712	4491
276	1717	4481
277	1722	4472
278	1727	4463
279	1732	4454
280	1736	4444
281	1742	4435
282	1747	4428
283	1752	4419
284	1757	4409
285	1763	4402
286	1768	4393
287	1773	4384
288	1778	4376
289	1784	4367
290	1789	4359
291	1794	4352
292	1800	4343
293	1805	4334
294	1810	4327
295	1815	4318
296	1820	4309
297	1826	4301
298	1831	4293
299	1836	4284
300	1841	4275
301	1846	4267
302	1851	4259
303	1856	4250
304	1862	4243
305	1867	4235
306	1872	4226
307	1878	4220
308	1883	4211
309	1888	4203
310	1894	4198
311	1899	4189
312	1904	4180
313	1910	4174
314	1915	4165
315	1920	4157
316	1926	4150
317	1931	4143
318	1937	4135
319	1942	4128
320	1947	4119
321	1952	4110
322	1958	4104
323	1962	4095
324	1967	4086
325	1973	4079
326	1978	4071
327	1982	4062
328	1988	4055
329	1994	4048
330	1999	4040
331	2004	4033
332	2009	4025
333	2014	4017
334	2020	4009
335	2025	4002
336	2030	3994
337	2035	3986
338	2041	3979
339	2046	3972
340	2051	3964
341	2057	3957
342	2062	3949
343	2067	3942
344	2073	3936
345	2078	3927
346	2082	3919
347	2088	3912
348	2093	3905
349	2098	3897
350	2104	3890
351	2109	3882
352	2113	3874
353	2119	3868
354	2124	3860
355	2129	3852
356	2134	3844
357	2139	3837
358	2144	3829
359	2149	3821
360	2155	3814
361	2159	3806
362	2165	3799
363	2170	3792
364	2175	3784
365	2180	3777
366	2186	3771
367	2191	3763
368	2196	3756
369	2202	3749
370	2207	3743
371	2212	3734
372	2218	3728
373	2223	3721
374	2228	3713
375	2233	3707
376	2238	3699
377	2243	3692
378	2249	3685
379	2254	3678
380	2259	3670
381	2264	3662
382	2269	3656
383	2274	3648
384	2279	3641
385	2285	3635
386	2290	3627
387	2295	3620
388	2300	3613
389	2306	3607
390	2311	3599
391	2317	3594
392	2322	3586
393	2327	3579
394	2332	3573
395	2337	3565
396	2342	3558
397	2348	3552
398	2353	3545
399	2358	3537
400	2363	3530
401	2368	3523
402	2373	3516
403	2378	3509
404	2384	3502
405	2389	3495
406	2393	3487
407	2399	3481
408	2404	3474
409	2409	3467
410	2415	3461
411	2420	3454
412	2425	3447
413	2431	3441
414	2436	3434
415	2440	3426
416	2446	3420
417	2450	3412
418	2455	3405
419	2461	3399
420	2466	3392
421	2471	3385
422	2476	3378
423	2482	3371
424	2486	3364
425	2492	3357
426	2498	3352
427	2502	3345
428	2508	3338
429	2514	3332
430	2519	3325
431	2524	3319
432	2530	3313
433	2535	3306
434	2540	3299
435	2546	3293
436	2551	3286
437	2555	3279
438	2561	3273
439	2566	3266
440	2571	3259
441	2576	3253
442	2581	3246
443	2586	3239
444	2591	3232
445	2596	3225
446	2601	3218
447	2607	3212
448	2612	3206
449	2617	3199
450	2622	3192
451	2628	3187
452	2633	3180
453	2638	3173
454	2644	3167
455	2657	3170
456	2670	3173
457	2681	3173
458	2690	3171
459	2698	3167
460	2705	3163
461	2710	3156
462	2715	3149
463	2720	3143
464	2725	3136
465	2730	3129
466	2735	3122
467	2741	3116
468	2745	3108
469	2750	3101
470	2756	3095
471	2761	3089
472	2766	3082
473	2772	3077
474	2777	3070
475	2782	3063
476	2788	3056
477	2793	3050
478	2798	3043
479	2804	3037
480	2809	3031
481	2814	3024
482	2820	3018
483	2825	3012
484	2829	3004
485	2835	2998
486	2839	2991
487	2844	2984
488	2849	2977
489	2855	2972
490	2860	2965
491	2866	2959
492	2871	2953
493	2876	2946
494	2881	2940
495	2887	2934
496	2892	2927
497	2897	2920
498	2903	2914
499	2908	2908
500	2913	2901
501	2918	2895
502	2923	2888
503	2928	2882
504	2934	2876
505	2939	2869
506	2944	2862
507	2949	2856
508	2955	2850
509	2960	2843
510	2965	2838
511	2971	2831
512	2976	2825
513	2982	2819
514	2987	2813
515	2992	2806
516	2997	2800
517	3002	2794
518	3008	2787
519	3013	2781
520	3019	2775
521	3024	2769
522	3029	2763
523	3035	2757
524	3039	2750
525	3045	2744
526	3051	2738
527	3056	2732
528	3062	2726
529	3067	2720
530	3072	2713
531	3077	2707
532	3083	2701
533	3088	2695
534	3094	2689
535	3100	2684
536	3105	2677
537	3111	2671
538	3117	2666
539	3122	2659
540	3127	2653
541	3132	2647
542	3138	2641
543	3143	2635
544	3149	2629
545	3154	2622
546	3159	2616
547	3165	2610
548	3170	2604
549	3175	2598
550	3182	2593
551	3187	2586
552	3193	2581
553	3198	2575
554	3203	2568
555	3209	2562
556	3215	2557
557	3220	2550
558	3226	2545
559	3231	2539
560	3236	2532
561	3242	2527
562	3248	2521
563	3253	2515
564	3259	2509
565	3265	2503
566	3270	2497
567	3276	2491
568	3281	2485
569	3286	2479
570	3293	2474
571	3298	2468
572	3303	2462
573	3309	2456
574	3315	2450
575	3320	2444
576	3326	2438
577	3331	2432
578	3336	2425
579	3342	2420
580	3347	2414
581	3352	2407
582	3358	2401
583	3363	2395
584	3368	2389
585	3376	2385
586	3382	2379
587	3389	2374
588	3395	2369
589	3401	2364
590	3408	2358
591	3414	2353
592	3421	2348
593	3427	2342
594	3433	2337
595	3440	2332
596	3446	2326
597	3453	2321
598	3460	2316
599	3466	2311
600	3474	2306
601	3480	2301
602	3487	2295
603	3493	2290
604	3499	2284
605	3506	2279
606	3512	2274
607	3519	2269
608	3526	2264
609	3532	2258
610	3538	2253
611	3544	2247
612	3549	2240
613	3555	2235
614	3560	2229
615	3566	2223
616	3573	2218
617	3579	2212
618	3585	2206
619	3590	2200
620	3595	2194
621	3602	2189
622	3608	2183
623	3614	2177
624	3620	2172
625	3626	2166
626	3632	2160
627	3638	2155
628	3643	2149
629	3649	2143
630	3655	2137
631	3660	2131
632	3666	2125
633	3672	2120
634	3677	2114
635	3683	2108
636	3689	2102
637	3694	2096
638	3700	2090
639	3706	2084
640	3711	2078
641	3717	2072
642	3723	2067
643	3728	2061
644	3734	2055
645	3740	2049
646	3745	2043
647	3751	2037
648	3756	2031
649	3761	2025
650	3767	2019
651	3773	2013
652	3778	2007
653	3784	2002
654	3789	1996
655	3795	1990
656	3800	1984
657	3805	1978
658	3810	1971
659	3816	1966
660	3821	1959
661	3826	1953
662	3832	1947
663	3837	1941
664	3842	1935
665	3848	1929
666	3852	1923
667	3857	1917
668	3863	1911
669	3868	1905
670	3872	1898
671	3878	1893
672	3884	1887
673	3889	1881
674	3895	1875
675	3900	1869
676	3905	1863
677	3910	1857
678	3915	1851
679	3920	1845
680	3925	1839
681	3931	1833
682	3936	1827
683	3942	1821
684	3947	1815
685	3952	1808
686	3956	1802
687	3964	1797
688	3976	1794
689	3986	1791
690	3996	1787
691	4003	1782
692	4011	1777
693	4017	1771
694	4022	1765
695	4027	1759
696	4032	1752
697	4037	1746
698	4042	1740
699	4047	1734
700	4052	1728
701	4058	1722
702	4063	1716
703	4068	1710
704	4074	1704
705	4079	1698
706	4084	1692
707	4090	1686
708	4095	1680
709	4100	1674
710	4105	1668
711	4111	1663
712	4116	1656
713	4121	1650
714	4126	1644
715	4131	1638
716	4136	1632
717	4142	1627
718	4148	1621
719	4153	1615
720	4158	1609
721	4163	1603
722	4168	1597
723	4174	1591
724	4179	1585
725	4184	1579
726	4189	1573
727	4194	1567
728	4199	1561
729	4205	1555
730	4210	1549
731	4215	1543
732	4220	1537
733	4226	1531
734	4231	1525
735	4237	1519
736	4242	1514
737	4247	1507
738	4253	1502
739	4258	1496
740	4264	1490
741	4270	1484
742	4275	1478
743	4280	1472
744	4286	1467
745	4291	1461
746	4297	1455
747	4303	1449
748	4308	1443
749	4314	1438
750	4320	1432
751	4325	1426
752	4330	1420
753	4336	1414
754	4341	1408
755	4346	1402
756	4353	1397
757	4358	1391
758	4363	1385
759	4369	1379
760	4374	1373
761	4379	1367
762	4385	1362
763	4390	1356
764	4396	1350
765	4402	1344
766	4407	1338
767	4412	1332
768	4418	1327
769	4423	1321
770	4428	1315
771	4434	1309
772	4439	1303
773	4444	1297
774	4450	1292
775	4455	1286
776	4461	1280
777	4467	1274
778	4471	1268
779	4476	1262
780	4482	1256
781	4487	1250
782	4491	1244
783	4496	1238
784	4501	1232
785	4506	1226
786	4511	1221
787	4517	1215
788	4522	1209
789	4527	1203
790	4533	1197
791	4538	1191
792	4543	1185
793	4548	1180
794	4553	1174
795	4558	1168
796	4563	1162
797	4568	1156
798	4573	1150
799	4579	1144
800	4583	1138
801	4588	1132
802	4594	1127
803	4599	1121
804	4603	1115
805	4608	1109
806	4614	1103
807	4619	1097
808	4625	1092
809	4631	1086
810	4635	1080
811	4641	1074
812	4647	1068
813	4651	1062
814	4656	1057
815	4662	1051
816	4667	1045
817	4672	1039
818	4677	1033
819	4682	1027
820	4687	1021
821	4692	1016
822	4697	1010
823	4702	1004
824	4707	998
825	4713	992
826	4718	986
827	4723	981
828	4729	975
829	4735	969
830	4740	964
831	4746	958
832	4751	952
833	4756	946
834	4761	940
835	4766	935
836	4771	929
837	4777	923
838	4782	917
839	4787	911
840	4793	906
841	4798	900
842	4803	894
843	4811	889
844	4818	883
845	4824	878
846	4829	872
847	4835	866
848	4840	860
849	4846	855
850	4851	849
851	4857	843
852	4862	838
853	4867	832
854	4873	826
855	4879	820
856	4884	814
857	4889	809
858	4894	803
859	4899	797
860	4904	791
861	4909	786
862	4914	780
863	4919	774
864	4925	768
865	4930	762
866	4935	757
867	4941	751
868	4946	745
869	4951	739
870	4957	734
871	4962	728
872	4966	722
873	4973	716
874	4978	711
875	4983	705
876	4989	699
877	4993	693
878	4998	688
879	5003	682
880	5008	676
881	5013	670
882	5019	665
883	5024	659
884	5029	653
885	5034	647
886	5040	642
887	5045	636
888	5050	630
889	5056	624
890	5060	619
891	5065	613
892	5071	607
893	5077	602
894	5082	596
895	5087	590
896	5092	584
897	5097	579
898	5103	573
899	5108	567
900	5113	561
901	5119	556
902	5124	550
903	5129	544
904	5136	539
905	5141	533
906	5146	527
907	5151	522
908	5156	516
909	5161	510
910	5167	504
911	5172	499
912	5176	493
913	5182	487
914	5187	481
915	5192	476
916	5197	470
917	5203	464
918	5208	459
919	5213	453
920	5219	447
921	5224	441
922	5228	436
923	5234	430
924	5239	424
925	5244	419
926	5250	413
927	5255	407
928	5260	402
929	5265	396
930	5270	390
931	5275	384
932	5281	379
933	5295	374
934	5307	368
935	5317	363
936	5326	358
937	5334	352
938	5340	346
939	5346	341
940	5351	335
941	5356	329
942	5362	324
943	5366	318
944	5371	312
945	5377	306
946	5382	301
947	5386	295
948	5392	289
949	5397	284
950	5401	278
951	5407	272
952	5412	266
953	5417	261
954	5422	255
955	5428	249
956	5433	244
957	5438	238
958	5443	232
959	5448	227
960	5453	221
961	5459	215
962	5464	209
963	5469	204
964	5474	198
965	5480	192
966	5485	187
967	5491	181
968	5496	175
969	5501	170
970	5507	164
971	5512	158
972	5517	153
973	5522	147
974	5528	141
975	5533	136
976	5538	130
977	5544	124
978	5549	119
979	5554	113
980	5560	107
981	5565	102
982	5570	96
983	5576	90
984	5581	84
985	5586	79
986	5592	73
987	5597	67
988	5603	62
989	5608	56
990	5614	50
991	5618	45
992	5624	39
993	5629	33
994	5634	28
995	5640	22
996	5645	16
997	5650	11
998	5657	5
999	5662	0
